Date,Open,High,Low,Close,Volume,Market Cap
12-Apr-19,165.34,166.13,161.03,164.74,"6,237,185,309","17,401,765,647"
11-Apr-19,177.34,177.49,162.32,165.5,"7,859,383,417","17,479,876,008"
10-Apr-19,176.07,183.13,175.23,177.34,"7,856,924,879","18,728,058,767"
9-Apr-19,180.22,180.25,175.09,176.11,"7,632,529,578","18,596,496,042"
8-Apr-19,174.45,184.38,174.16,180.26,"9,304,964,610","19,031,640,376"
7-Apr-19,165.98,175.21,164.93,174.53,"7,596,176,020","18,424,576,820"
6-Apr-19,165.51,172.52,161.8,165.95,"7,167,016,221","17,516,082,778"
5-Apr-19,158.02,167.22,157.44,165.51,"7,531,316,908","17,468,192,986"
4-Apr-19,161.43,164.93,155.24,158.05,"7,953,123,529","16,678,477,300"
3-Apr-19,164.01,178.32,157.32,161.46,"10,622,456,246","17,035,703,564"
2-Apr-19,141.84,165.23,141.64,163.96,"9,826,645,698","17,297,572,365"
1-Apr-19,141.47,142.73,140.74,141.83,"4,611,999,536","14,960,828,861"
31-Mar-19,142.14,142.19,140.7,141.51,"4,249,050,197","14,925,533,137"
30-Mar-19,142.36,149.61,141.03,142.09,"5,144,662,127","14,984,615,423"
29-Mar-19,139.34,142.55,138.05,142.5,"5,125,602,702","15,025,361,637"
28-Mar-19,141.01,141.01,138.43,139.42,"4,163,212,475","14,698,609,599"
27-Mar-19,135.45,141.08,135.34,140.99,"5,228,240,093","14,862,394,451"
26-Mar-19,135.05,135.46,133.76,135.46,"4,499,271,679","14,277,816,266"
25-Mar-19,137.08,137.7,133.49,135.03,"4,480,516,753","14,230,733,149"
24-Mar-19,138.32,138.38,136.31,136.99,"4,266,845,458","14,434,995,337"
23-Mar-19,137.04,139.39,136.91,138.24,"4,436,568,613","14,565,143,357"
22-Mar-19,136.56,138.79,136.23,137.18,"4,490,899,266","14,451,740,115"
21-Mar-19,140.48,141,135.86,136.64,"5,087,247,796","14,392,427,839"
20-Mar-19,140.48,140.95,138.31,140.69,"4,664,134,462","14,817,151,375"
19-Mar-19,139.25,140.99,139.14,140.52,"4,251,488,129","14,797,612,389"
18-Mar-19,140.1,142.27,138.84,139.37,"4,551,739,879","14,675,181,094"
17-Mar-19,142.24,142.37,139.32,140,"3,827,157,729","14,739,201,597"
16-Mar-19,137.91,144.56,137.91,142.4,"4,839,003,569","14,989,691,491"
15-Mar-19,133.57,138.4,133.57,137.69,"4,506,861,856","14,492,364,551"
14-Mar-19,133.2,135.18,132.75,133.71,"4,476,532,147","14,071,628,064"
13-Mar-19,134.61,134.61,132.72,133.26,"4,265,162,099","14,022,610,219"
12-Mar-19,134.01,135.27,130.94,134.44,"4,709,988,000","14,144,929,392"
11-Mar-19,136.85,137.35,133.1,133.83,"4,689,807,419","14,079,044,648"
10-Mar-19,138.18,138.27,135.69,136.76,"4,578,438,499","14,384,860,876"
9-Mar-19,134.89,139.12,134.68,137.97,"5,011,918,715","14,509,873,018"
8-Mar-19,138.31,139.5,133.56,135.13,"4,678,816,794","14,209,542,041"
7-Mar-19,138.94,140.86,137.27,138.03,"4,339,206,292","14,513,398,954"
6-Mar-19,137.96,139.97,136.15,138.79,"4,589,054,219","14,590,867,639"
5-Mar-19,127.79,138.23,126.74,137.82,"4,764,849,990","14,492,117,352"
4-Mar-19,132.16,132.73,125.4,127.77,"4,008,171,341","13,432,896,659"
3-Mar-19,134.79,135.85,131.33,132.25,"3,454,374,053","13,900,679,027"
2-Mar-19,136.35,137.18,132.44,134.21,"3,747,176,425","14,103,698,392"
1-Mar-19,136.84,139,136.43,136.44,"3,756,124,824","14,335,957,425"
28-Feb-19,136.28,138.85,135.66,136.75,"4,535,438,953","14,365,118,213"
27-Feb-19,138.03,141.34,131.6,136.13,"4,469,776,860","14,298,070,644"
26-Feb-19,139.65,139.98,136.58,138.09,"3,791,292,839","14,502,464,167"
25-Feb-19,135.5,142.53,135.48,139.82,"4,914,392,068","14,682,597,926"
24-Feb-19,158.9,165.55,135.85,135.85,"5,957,715,043","14,263,873,721"
23-Feb-19,148.68,159.13,147.33,158.8,"4,519,468,458","16,670,632,412"
22-Feb-19,146.07,149.27,145.21,149.09,"3,731,099,284","15,649,961,167"
21-Feb-19,149.35,149.35,144.56,146.13,"3,995,766,856","15,337,145,738"
20-Feb-19,145.17,149.55,142.5,149.55,"4,500,094,965","15,694,462,393"
19-Feb-19,146.4,149.93,145.13,145.35,"5,310,842,625","15,250,901,019"
18-Feb-19,133.03,147.69,133,146.1,"5,387,525,773","15,327,852,479"
17-Feb-19,123.18,134.46,123.09,133.6,"4,236,081,130","14,014,695,490"
16-Feb-19,122.4,124.13,122.3,123.26,"2,905,833,287","12,928,550,184"
15-Feb-19,121.45,123.66,121.37,122.1,"3,021,741,615","12,805,280,766"
14-Feb-19,122.42,124.45,121.33,121.39,"3,331,701,628","12,729,213,675"
13-Feb-19,122.54,125.55,121.61,122.55,"3,386,585,799","12,849,605,819"
12-Feb-19,121.18,123.47,119.6,122.57,"3,149,576,429","12,849,965,122"
11-Feb-19,124.87,124.87,120.31,121.3,"3,222,473,887","12,714,795,026"
10-Feb-19,119.41,124.85,117.11,124.81,"3,148,766,590","13,080,881,910"
9-Feb-19,119.21,120.69,118,119.43,"2,884,650,400","12,515,870,173"
8-Feb-19,104.65,119.81,104.19,119.27,"3,656,841,347","12,496,945,336"
7-Feb-19,104.84,106.06,104.41,104.54,"2,326,764,622","10,951,652,648"
6-Feb-19,107.57,107.57,102.93,104.92,"2,593,048,199","10,990,266,833"
5-Feb-19,107.63,108.13,106.91,107.44,"2,515,863,999","11,253,035,388"
4-Feb-19,107.63,108.7,107.07,107.82,"2,491,888,675","11,290,969,364"
3-Feb-19,110.49,110.83,106.56,107.49,"2,519,334,757","11,254,870,706"
2-Feb-19,107.47,110.65,106.76,110.43,"2,385,157,838","11,560,765,573"
1-Feb-19,107.15,108.64,105.05,107.61,"2,541,271,519","11,263,815,610"
31-Jan-19,108.9,110.46,106.53,107.06,"2,828,796,031","11,204,735,502"
30-Jan-19,105.41,109.45,104.84,108.91,"2,874,370,355","11,396,282,341"
29-Jan-19,106.72,107.17,104,105.6,"2,900,418,606","11,048,347,342"
28-Jan-19,113.29,113.69,103.34,106.59,"3,366,895,505","11,150,461,958"
27-Jan-19,116.51,116.69,113.41,113.41,"2,775,888,287","11,861,671,822"
26-Jan-19,116.37,118.08,115.98,116.49,"2,412,181,169","12,182,338,148"
25-Jan-19,117.59,117.8,115.83,116.38,"2,606,881,898","12,168,932,300"
24-Jan-19,117.46,118.03,116.01,117.36,"2,520,843,420","12,269,992,351"
23-Jan-19,118.71,119.42,116.38,117.45,"2,556,952,198","12,277,481,872"
22-Jan-19,117.11,119.66,114.68,118.75,"2,552,507,405","12,410,972,241"
21-Jan-19,119.64,119.72,116.16,117.16,"2,421,720,343","12,242,940,197"
20-Jan-19,124.63,125.07,118.7,119.47,"2,964,108,269","12,483,136,112"
19-Jan-19,121.61,125.9,121.16,124.52,"3,048,261,797","13,007,954,846"
18-Jan-19,123.65,123.84,120.24,121.01,"2,305,389,800","12,639,234,713"
17-Jan-19,123.57,124.27,120.82,123.74,"2,594,091,285","12,922,347,330"
16-Jan-19,121.81,127.12,121.44,123.55,"2,746,469,340","12,899,812,275"
15-Jan-19,129.17,130.74,120.31,122.03,"2,735,449,164","12,739,543,688"
14-Jan-19,116.98,130.86,116.97,129.07,"2,798,085,735","13,471,754,802"
13-Jan-19,125.91,126.27,116.09,116.9,"2,268,263,944","12,199,288,487"
12-Jan-19,127.53,128.67,125.45,125.97,"2,212,109,224","13,143,426,380"
11-Jan-19,127.81,130.17,125.24,127.55,"2,667,585,234","13,306,214,134"
